location,trap_set_date,week_ending_saturday,epi_week,year,site_type,virus
Deniliquin,21/02/2023,25/02/2023,7,2023,Inland,Murray Valley encephalitis
Griffith,39570,09/02/2008,8,2008,Inland,Murray Valley encephalitis
Griffith,18/02/2008,23/02/2008,8,2008,Inland,Murray Valley encephalitis
Corowa,13/02/2023,18/02/2023,8,2023,Inland,Murray Valley encephalitis
Corowa,20/02/2023,25/02/2023,8,2023,Inland,Murray Valley encephalitis
Griffith,45079,11/02/2023,8,2023,Inland,Murray Valley encephalitis
Macquarie Marshes,13/02/2023,18/02/2023,8,2023,Inland,Murray Valley encephalitis
Leeton,39541,08/03/2008,11,2008,Inland,Murray Valley encephalitis
Griffith,39510,08/03/2008,12,2008,Inland,Murray Valley encephalitis
Macquarie Marshes,45263,18/03/2023,12,2023,Inland,Murray Valley encephalitis
Batemans Bay,23/01/1991,26/01/1991,3,1991,Coastal,Ross River
Port Stephens,21/01/1992,25/01/1992,3,1992,Coastal,Ross River
Port Stephens,29/01/1992,01/02/1992,3,1992,Coastal,Ross River
Batemans Bay,23/01/1995,28/01/1995,3,1995,Coastal,Ross River
Tathra,17/01/1995,21/01/1995,3,1995,Coastal,Ross River
Batemans Bay,36465,16/01/1999,3,1999,Coastal,Ross River
Batemans Bay,18/01/1999,23/01/1999,3,1999,Coastal,Ross River
Port Stephens,36465,16/01/1999,3,1999,Coastal,Ross River
Port Stephens,24/01/2006,28/01/2006,3,2006,Coastal,Ross River
Port Macquarie,23/01/2008,26/01/2008,3,2008,Coastal,Ross River
Tweed,23/01/2015,24/01/2015,3,2015,Coastal,Ross River
Tweed,29/01/2024,03/02/2024,3,2024,Coastal,Ross River
Deniliquin,32782,14/01/1989,3,1989,Inland,Ross River
Griffith,34274,16/01/1993,3,1993,Inland,Ross River
Griffith,18/01/1993,23/01/1993,3,1993,Inland,Ross River
Wentworth,26/01/1993,30/01/1993,3,1993,Inland,Ross River
Boggabilla,29/01/1996,03/02/1996,3,1996,Inland,Ross River
Deniliquin,15/01/1996,20/01/1996,3,1996,Inland,Ross River
Deniliquin,29/01/1996,03/02/1996,3,1996,Inland,Ross River
Griffith,15/01/1996,20/01/1996,3,1996,Inland,Ross River
Griffith,22/01/1996,27/01/1996,3,1996,Inland,Ross River
Griffith,29/01/1996,03/02/1996,3,1996,Inland,Ross River
Deniliquin,35551,11/01/1997,3,1997,Inland,Ross River
Deniliquin,19/01/1997,25/01/1997,3,1997,Inland,Ross River
Griffith,35612,11/01/1997,3,1997,Inland,Ross River
Bourke,36861,15/01/2000,3,2000,Inland,Ross River
Bourke,17/01/2000,22/01/2000,3,2000,Inland,Ross River
Griffith,23/01/2001,27/01/2001,3,2001,Inland,Ross River
Albury,24/01/2006,28/01/2006,3,2006,Inland,Ross River
Griffith,17/01/2008,19/01/2008,3,2008,Inland,Ross River
